AÑO,MES,Fecha,Tipo día,GRAN BS.AS.,BUENOS AIRES,CENTRO,LITORAL,CUYO,NOROESTE,NORESTE,COMAHUE,PATAGONICA,DEMANDA TOTAL,TEMPERATURA REFERENCIA MEDIA GBA °C
2018,2018-03-01,2018-03-29,Sabado o Semilaborable,5322.235541666667,1779.4560833333335,1315.8718333333334,1897.5347083333334,900.4109583333334,1266.5504583333334,1119.7433333333333,583.2032083333334,650.8304583333334,14835.836583333334,23.9
2018,2018-03-01,2018-03-30,Domingo o Feriado,4932.088624999999,1568.1702083333332,1184.4419583333333,1782.122875,805.1498333333334,1224.4282916666666,1103.087,552.2582916666667,642.58675,13794.333833333334,24.65
2018,2018-03-01,2018-03-31,Sabado o Semilaborable,5049.408666666667,1635.592625,1233.6915833333335,1890.01775,848.9997083333333,1295.7607916666666,1098.7353333333333,546.4190416666667,634.8570833333333,14233.482583333334,25.55
2018,2018-04-01,2018-04-01,Domingo o Feriado,4367.134,1477.0555416666666,1041.8806666666667,1642.777,740.2633333333333,1172.06125,953.0725416666668,519.8840416666667,629.5470833333333,12543.675458333331,23.15
2018,2018-04-01,2018-04-02,Domingo o Feriado,4331.85875,1417.166625,1029.8515416666667,1605.5080833333334,772.4684166666666,1076.3956249999999,972.8647916666667,534.6162916666666,631.0786666666667,12371.808791666666,21.8
2018,2018-04-01,2018-04-03,Martes Habiles,5184.681833333333,1659.6045416666666,1267.0695833333332,1891.563125,878.608875,1265.69575,1126.9515416666666,578.456875,644.0642916666667,14496.696416666668,19.700000000000003
2018,2018-04-01,2018-04-04,Miercoles habiles,5474.161708333333,1780.1849583333333,1353.780125,1971.6431249999998,924.0090833333334,1345.4313333333332,1165.1262083333334,595.9640833333334,641.4919583333334,15251.792583333334,21.8
2018,2018-04-01,2018-04-05,Jueves Habiles,5797.686583333333,1797.1648750000002,1387.2833333333335,2003.8881666666666,898.1527500000001,1381.2710416666666,1222.3499583333335,587.6047916666666,643.904,15719.305500000002,23.65
2018,2018-04-01,2018-04-06,Viernes habiles,5373.567708333333,1756.5226666666667,1262.4125000000001,1937.0354166666666,876.03775,1373.5839166666667,1238.4719166666666,585.2498333333333,650.5781666666667,15053.459875,19.65
2018,2018-04-01,2018-04-07,Sabado o Semilaborable,4701.126708333333,1668.5764166666668,1091.0982916666667,1662.4250833333333,829.19575,1202.959875,1222.0442083333335,551.065875,634.6731666666667,13563.165375000002,18.299999999999997
2018,2018-04-01,2018-04-08,Domingo o Feriado,4395.015166666667,1475.3008333333335,1007.3130416666667,1514.1330416666667,766.6424583333334,1109.0259583333334,1176.2040416666666,525.0112083333333,611.6878333333333,12580.333583333333,19.4
2018,2018-04-01,2018-04-09,Lunes habiles,5455.635333333334,1718.546,1288.2369166666667,1935.2295000000001,871.279625,1253.4030833333334,1316.3693333333333,582.2995416666666,630.3312916666666,15051.330625,23.05
2018,2018-04-01,2018-04-10,Martes Habiles,5923.294916666667,1800.1452916666667,1420.5585416666665,2082.150291666667,919.7117499999999,1375.2572916666668,1362.943125,588.5037083333333,615.6738333333334,16088.238750000002,26.950000000000003
2018,2018-04-01,2018-04-11,Miercoles habiles,6409.5399166666675,1854.314,1505.4255416666667,2302.250791666667,945.173625,1489.4274583333333,1476.8319583333332,587.7447916666666,603.8139583333333,17174.522041666667,27.95
2018,2018-04-01,2018-04-12,Jueves Habiles,5296.948208333333,1729.6736666666666,1291.3767083333335,1970.0197500000002,890.0970000000001,1371.673375,1455.49,585.39175,558.4395416666667,15149.11,19.25
2018,2018-04-01,2018-04-13,Viernes habiles,5148.531291666667,1768.5213333333334,1263.4534166666667,1778.7728333333334,881.4439583333333,1180.026125,1047.6887916666667,584.7056666666666,600.59525,14253.738666666668,14.55
2018,2018-04-01,2018-04-14,Sabado o Semilaborable,4642.28375,1681.2989166666666,1131.100375,1601.859875,832.4280833333333,1116.6685833333333,958.4537916666667,555.3254166666667,595.4552916666667,13114.874083333334,18.75
2018,2018-04-01,2018-04-15,Domingo o Feriado,4275.244708333334,1507.6156666666666,1017.6197083333333,1478.9957083333331,759.6765833333334,1023.9800416666667,926.3892916666667,523.7375416666666,592.0337916666666,12105.293041666668,21.15
2018,2018-04-01,2018-04-16,Lunes habiles,5205.62325,1716.1290416666668,1250.5927916666667,1841.724,860.0481666666666,1167.3783333333333,1065.5669166666667,576.159,629.1452083333334,14312.366708333335,22.35
2018,2018-04-01,2018-04-17,Martes Habiles,5505.295375000001,1790.5562916666668,1344.266375,1991.9225833333333,880.9119583333332,1254.1309166666667,1160.4850416666666,578.0575,620.6879166666666,15126.313958333334,23.35
2018,2018-04-01,2018-04-18,Miercoles habiles,5739.234,1815.4364166666667,1399.3473333333334,2108.5205,889.4643333333333,1309.9888333333333,1221.2155833333334,582.5161666666667,641.8687083333333,15707.591875,25.45
2018,2018-04-01,2018-04-19,Jueves Habiles,5968.012625,1793.4262500000002,1410.7440416666668,2202.899375,891.8007083333333,1369.6905833333333,1299.6732916666667,590.5342083333334,621.84925,16148.630333333334,25.4
2018,2018-04-01,2018-04-20,Viernes habiles,5792.10825,1777.9458750000001,1385.0540833333334,1984.6220833333334,907.1392916666667,1415.81125,1354.1956666666667,591.8840416666667,631.6991666666667,15840.459708333336,22.75
2018,2018-04-01,2018-04-21,Sabado o Semilaborable,5007.274916666666,1686.494125,1241.2257916666667,1858.5582083333331,866.2079166666667,1379.5886666666665,1336.9230416666667,543.9134583333333,625.7745,14545.960624999998,22.65
2018,2018-04-01,2018-04-22,Domingo o Feriado,4660.206041666667,1509.4760416666668,1130.197625,1694.6591250000001,794.5589583333334,1343.6350416666667,1284.424375,508.61808333333335,612.318375,13538.093666666668,23.7
2018,2018-04-01,2018-04-23,Lunes habiles,5352.508875,1710.9627083333335,1261.899625,1869.1915833333333,864.6714583333334,1410.4845833333331,1174.4426666666666,564.4466249999999,645.3775833333333,14853.985708333334,21.05
2018,2018-04-01,2018-04-24,Martes Habiles,5316.254833333333,1735.6790416666665,1292.389875,1890.3939583333333,868.3524583333333,1282.0803333333333,1050.1836666666666,578.8512916666667,652.9164583333334,14667.101916666665,19.7
2018,2018-04-01,2018-04-25,Miercoles habiles,5587.477583333333,1762.8466666666666,1323.9187916666667,1975.6774166666667,884.1442916666666,1297.5780416666666,1211.3455000000001,583.1616250000001,660.6223333333334,15286.772250000002,24.450000000000003
2018,2018-04-01,2018-04-26,Jueves Habiles,5689.811458333334,1806.3263333333334,1344.866875,2044.631875,902.7690416666666,1340.6406666666667,1270.3080833333333,588.7939583333333,654.4032916666666,15642.551583333334,24.200000000000003
